2,greedy,grasp
random1012484,7.000000,0.000000
random1716955679,3.000000,0.000000
random1792309082,2.000000,0.000000
random229610924,3.000000,0.000000
random1639479903,3.000000,0.000000
random1362739833,3.000000,0.000000
random918811664,2.000000,0.000000
random2146985903,2.000000,0.000000
random1443394820,3.000000,0.000000
random717935133,3.000000,0.000000
random539012422,1.000000,0.000000
random1200475962,1.000000,0.000000
random522944351,1.000000,0.000000
random720297736,1.000000,0.000000
random1167803886,1.000000,0.000000
random596656587,1.000000,0.000000
random1686525877,2.000000,0.000000
random751445801,2.000000,0.000000
random555744774,1.000000,0.000000
random2070776622,2.000000,0.000000
